,Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5,zeros,zeros+1
14764,BDCQ.SEE1036A,2018,5254.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14765,BDCQ.SEE1036A,2018,5378.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14766,BDCQ.SEE1036A,2018,5381.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14767,BDCQ.SEE1036A,2019,5236.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14768,BDCQ.SEE1036A,2019,5179.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14769,BDCQ.SEE1036A,2019,5259.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14770,BDCQ.SEE1036A,2019,5321.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14771,BDCQ.SEE1036A,2020,5206.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14772,BDCQ.SEE1036A,2020,5136.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14773,BDCQ.SEE1036A,2020,5132.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14774,BDCQ.SEE1036A,2020,5259.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14775,BDCQ.SEE1036A,2021,5201.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14776,BDCQ.SEE1036A,2021,5210.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14777,BDCQ.SEE1036A,2021,5316.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14778,BDCQ.SEE1036A,2021,5420.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14779,BDCQ.SEE1036A,2022,5374.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14780,BDCQ.SEE1036A,2022,5354.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14781,BDCQ.SEE1036A,2022,5421.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14782,BDCQ.SEE1036A,2022,5453.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14783,BDCQ.SEE1036A,2023,5443.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14784,BDCQ.SEE1036A,2023,5409.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14785,BDCQ.SEE1036A,2023,5344.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14786,BDCQ.SEE1036A,2023,5374.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14787,BDCQ.SEE1036A,2024,5308.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14788,BDCQ.SEE1036A,2024,5188.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14789,BDCQ.SEE1036A,2024,5206.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
